Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
1.0,731003,A,0.0,AMSTAR CORP.,10479,CANADA,SUGAR AND SYRUPS,0.0,790430,PET,na,na,na,na,0.0,0.0,1979-04-30,1.0
2.0,731003,A,0.0,AMSTAR CORP.,10479,CANADA,SUGAR AND SYRUPS,0.0,791108,DOCF,na,na,na,na,0.0,0.0,1979-11-08,4.0
3.0,731003,A,0.0,AMSTAR CORP.,10479,CANADA,SUGAR AND SYRUPS,0.0,800326,ITCF,na,na,na,na,0.0,0.0,1980-03-26,5.0
6.0,731012,A,1.0,SCM CORP.,20474,JAPAN,Portable Electric Typewriters,0.0,790409,PET,na,na,na,na,0.0,0.0,1979-04-09,1.0
7.0,731012,A,1.0,SCM CORP.,20474,JAPAN,Portable Electric Typewriters,0.0,800101,ITCP,na,na,na,na,0.0,0.0,1980-01-01,2.0
8.0,731012,A,1.0,SCM CORP.,20474,JAPAN,Portable Electric Typewriters,0.0,800321,DOCF,na,na,na,na,0.0,0.0,1980-03-21,4.0
9.0,731012,A,1.0,SCM CORP.,20474,JAPAN,Portable Electric Typewriters,1.0,800423,ITCF,na,na,na,na,0.0,0.0,1980-04-23,5.0
12.0,731031,A,0.0,FMC Corp,19166,WEST GERMANY,BARIUM CARBONATE,0.0,800924,PET,na,na,na,na,0.0,0.0,1980-09-24,1.0
13.0,731031,A,0.0,Sherwin-Williams,36468,WEST GERMANY,BARIUM CARBONATE,0.0,800924,PET,na,na,na,na,0.0,0.0,1980-09-24,1.0
14.0,731031,A,0.0,FMC Corp,19166,WEST GERMANY,BARIUM CARBONATE,0.0,801106,ITCP,na,na,na,na,0.0,0.0,1980-11-06,2.0
15.0,731031,A,0.0,Sherwin-Williams,36468,WEST GERMANY,BARIUM CARBONATE,0.0,801106,ITCP,na,na,na,na,0.0,0.0,1980-11-06,2.0
16.0,731031,A,0.0,FMC Corp,19166,WEST GERMANY,BARIUM CARBONATE,0.0,810218,DOCP,na,na,na,na,0.0,0.0,1981-02-18,3.0
17.0,731031,A,0.0,Sherwin-Williams,36468,WEST GERMANY,BARIUM CARBONATE,0.0,810218,DOCP,na,na,na,na,0.0,0.0,1981-02-18,3.0
18.0,731031,A,0.0,FMC Corp,19166,WEST GERMANY,BARIUM CARBONATE,0.0,810507,DOCF,na,na,na,na,0.0,0.0,1981-05-07,4.0
19.0,731031,A,0.0,Sherwin-Williams,36468,WEST GERMANY,BARIUM CARBONATE,0.0,810507,DOCF,na,na,na,na,0.0,0.0,1981-05-07,4.0
20.0,731031,A,0.0,FMC Corp,19166,WEST GERMANY,BARIUM CARBONATE,0.0,810624,ITCF,na,na,na,na,0.0,0.0,1981-06-24,5.0
21.0,731031,A,0.0,Sherwin-Williams,36468,WEST GERMANY,BARIUM CARBONATE,0.0,810624,ITCF,na,na,na,na,0.0,0.0,1981-06-24,5.0
22.0,731044,A,0.0,Pfizer,21936,FRANCE,SORBITOL,0.0,810624,PET,na,na,na,na,0.0,0.0,1981-06-24,1.0
23.0,731044,A,0.0,Pfizer,21936,FRANCE,SORBITOL,0.0,810805,ITCP,na,na,na,na,0.0,0.0,1981-08-05,2.0
24.0,731044,A,0.0,Pfizer,21936,FRANCE,SORBITOL,0.0,811130,DOCP,na,na,na,na,0.0,0.0,1981-11-30,3.0
25.0,731044,A,0.0,Pfizer,21936,FRANCE,SORBITOL,0.0,820212,DOCF,na,na,na,na,0.0,0.0,1982-02-12,4.0
26.0,731044,A,0.0,Pfizer,21936,FRANCE,SORBITOL,0.0,820407,ITCF,na,na,na,na,0.0,0.0,1982-04-07,5.0
27.0,731048,A,0.0,Aydin Corp,58376,JAPAN,AMPLIFIERS,0.0,810805,PET,na,na,na,na,0.0,0.0,1981-08-05,1.0
28.0,731048,A,0.0,Aydin Corp,58376,JAPAN,AMPLIFIERS,1.0,810902,ITCP,na,na,na,na,0.0,0.0,1981-09-02,2.0
29.0,731048,A,0.0,Aydin Corp,58376,JAPAN,AMPLIFIERS,1.0,820105,DOCP,na,na,na,na,0.0,0.0,1982-01-05,3.0
30.0,731048,A,0.0,Aydin Corp,58376,JAPAN,AMPLIFIERS,0.0,820521,DOCF,na,na,na,na,0.0,0.0,1982-05-21,4.0
31.0,731048,A,0.0,Aydin Corp,58376,JAPAN,AMPLIFIERS,1.0,820623,ITCF,na,na,na,na,0.0,0.0,1982-06-23,5.0
32.0,731050,A,0.0,Lukens Steel,22373,JAPAN,STAINLESS CLAD PLATE,1.0,811006,PET,na,na,na,na,0.0,0.0,1981-10-06,1.0
33.0,731050,A,0.0,Lukens Steel,22373,JAPAN,STAINLESS CLAD PLATE,1.0,811113,ITCP,na,na,na,na,0.0,0.0,1981-11-13,2.0
34.0,731050,A,0.0,Lukens Steel,22373,JAPAN,STAINLESS CLAD PLATE,0.0,820322,DOCP,na,na,na,na,0.0,0.0,1982-03-22,3.0
35.0,731050,A,0.0,Lukens Steel,22373,JAPAN,STAINLESS CLAD PLATE,0.0,820604,DOCF,na,na,na,na,0.0,0.0,1982-06-04,4.0
36.0,731050,A,0.0,Lukens Steel,22373,JAPAN,STAINLESS CLAD PLATE,1.0,820707,ITCF,na,na,na,na,0.0,0.0,1982-07-07,5.0
37.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,820309,PET,na,na,na,na,0.0,0.0,1982-03-09,1.0
38.0,731089,N,1.0,ARMCO,17566,UK,Concrete Steel Wire Strand,0.0,820309,PET,na,na,na,na,0.0,0.0,1982-03-09,1.0
39.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,820419,ITCP,na,na,na,na,0.0,0.0,1982-04-19,2.0
40.0,731089,N,1.0,ARMCO,17566,UK,Concrete Steel Wire Strand,0.0,820419,ITCP,na,na,na,na,0.0,0.0,1982-04-19,2.0
41.0,731089,N,1.0,ARMCO INC.,17566,UK,Concrete Steel Wire Strand,0.0,821006,DOCP,na,na,na,na,0.0,0.0,1982-10-06,3.0
42.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,821006,DOCP,na,na,na,na,0.0,0.0,1982-10-06,3.0
43.0,731089,N,1.0,ARMCO INC.,17566,UK,Concrete Steel Wire Strand,0.0,821220,DOCF,na,na,na,na,0.0,0.0,1982-12-20,4.0
44.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,821220,DOCF,na,na,na,na,0.0,0.0,1982-12-20,4.0
45.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,830102,ITCF,na,na,na,na,0.0,0.0,1983-01-02,5.0
