Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
10.0,731012,A,1.0,SCM CORP.,20474,JAPAN,Portable Electric Typewriters,1.0,861007,TARJ,1,0,0,0,0.0,0.0,1986-10-07,
47.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,1.0,840306,TARJ,0,1,0,0,0.0,0.0,1984-03-06,
48.0,731089,N,1.0,ARMCO,17566,UK,Concrete Steel Wire Strand,1.0,840306,TARJ,0,1,0,0,0.0,0.0,1984-03-06,
154.0,731095,A,1.0,COLT INDUSTRIES,11332,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
155.0,731095,A,1.0,REPUBLIC STEEL,14189,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
156.0,731095,A,1.0,ARMCO,17566,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
157.0,731095,A,1.0,EASTERN STAINLESS STEEL,18251,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
158.0,731095,A,1.0,CYCLOPS CORP,20589,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
159.0,731095,A,1.0,CARPENTER TECHNLOGY CORP,20618,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
160.0,731095,A,1.0,ALLEGHENY LUDLUM,18817,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
161.0,731095,A,1.0,JONES & LAUGHLIN STEEL,21530,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
162.0,731095,A,1.0,JESSUP STEEL,45305,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
163.0,731095,A,1.0,WASHINGTON STEEL,45727,FRANCE,Stainless Steel Sheet and Strip,1.0,900313,TARJ,0,1,0,0,0.0,0.0,1990-03-13,
216.0,731102,A,1.0,MOTOROLA INC,22779,JAPAN,Radio Pagers,1.0,830107,TARJ,1,0,0,0,0.0,0.0,1983-01-07,
220.0,731102,A,1.0,MOTOROLA INC,22779,JAPAN,Radio Pagers,1.0,830920,TARJ,1,0,0,0,0.0,0.0,1983-09-20,
221.0,731102,A,1.0,MOTOROLA INC,22779,JAPAN,Radio Pagers,1.0,840521,TARJ,1,0,0,0,0.0,0.0,1984-05-21,
273.0,731134,A,1.0,OWENS ILINOIS,13661,KOREA,Color TV Receivers,1.0,831227,TARJ,1,0,0,0,0.0,0.0,1983-12-27,
274.0,731134,A,1.0,CORNING GLASS WORKS,22293,KOREA,Color TV Receivers,0.0,831227,TARJ,1,0,0,0,0.0,0.0,1983-12-27,
275.0,731134,A,1.0,WELLS-GARDNER ELECTRIC CORP.,63829,KOREA,Color TV Receivers,0.0,831227,TARJ,1,0,0,0,0.0,0.0,1983-12-27,
320.0,731207,A,1.0,MOTOROLA INC.,22779,JAPAN,Cellular Mobile Telephones,1.0,830903,TARJ,0,0,1,0,0.0,0.0,1983-09-03,
321.0,731207,A,1.0,MOTOROLA INC.,22779,JAPAN,Cellular Mobile Telephones,1.0,840509,TARJ,1,0,0,0,0.0,0.0,1984-05-09,
322.0,731207,A,1.0,MOTOROLA INC.,22779,JAPAN,Cellular Mobile Telephones,1.0,840521,TARJ,1,0,0,0,0.0,0.0,1984-05-21,
323.0,731207,A,1.0,MOTOROLA INC.,22779,JAPAN,Cellular Mobile Telephones,1.0,841002,TARJ,1,0,0,0,0.0,0.0,1984-10-02,
329.0,731207,A,1.0,MOTOROLA INC.,22779,JAPAN,Cellular Mobile Telephones,1.0,860215,TARJ,1,0,0,0,0.0,0.0,1986-02-15,
366.0,731270,A,1.0,MICRON TECHNOLOGY,53613,JAPAN,64k DRAMs,1.0,840125,TARJ,1,0,0,0,1.0,0.0,1984-01-25,
370.0,731270,A,1.0,MICRON TECHNOLOGY,53613,JAPAN,64k DRAMs,1.0,860421,TARJ,0,0,0,1,1.0,0.0,1986-04-21,
373.0,731270,A,1.0,MICRON TECHNOLOGY,53613,JAPAN,64k DRAMs,1.0,881028,TARJ,1,0,0,0,1.0,0.0,1988-10-28,
374.0,731270,A,1.0,MICRON TECHNOLOGY,53613,JAPAN,64k DRAMs,1.0,890614,TARJ,1,0,0,0,1.0,0.0,1989-06-14,
397.0,731288,S,1.0,NATIONAL SEMICONDUCTOR CORP.,51377,JAPAN,EPROMS,1.0,930628,TARJ,1,0,0,0,1.0,0.0,1993-06-28,
398.0,731288,S,1.0,INTEL CORP,59328,JAPAN,EPROMS,1.0,930628,TARJ,1,0,0,0,1.0,0.0,1993-06-28,
399.0,731288,S,1.0,ADVANCED MICRO DEVICES,61241,JAPAN,EPROMS,1.0,930628,TARJ,1,0,0,0,1.0,0.0,1993-06-28,
418.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,851021,TARJ,0,1,0,0,1.0,0.0,1985-10-21,
419.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,851021,TARJ,0,1,0,0,1.0,0.0,1985-10-21,
420.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,851021,TARJ,0,1,0,0,1.0,0.0,1985-10-21,
430.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860421,TARJ,0,0,0,1,1.0,0.0,1986-04-21,
431.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860421,TARJ,0,0,0,1,1.0,0.0,1986-04-21,
432.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860421,TARJ,0,0,0,1,1.0,0.0,1986-04-21,
433.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860503,TARJ,0,0,0,1,1.0,0.0,1986-05-03,
434.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860503,TARJ,0,0,0,1,1.0,0.0,1986-05-03,
435.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860503,TARJ,0,0,0,1,1.0,0.0,1986-05-03,
436.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860611,TARJ,0,0,0,1,1.0,0.0,1986-06-11,
437.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860611,TARJ,0,0,0,1,1.0,0.0,1986-06-11,
438.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860611,TARJ,0,0,0,1,1.0,0.0,1986-06-11,
442.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860809,TARJ,1,0,0,0,1.0,0.0,1986-08-09,
443.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860809,TARJ,1,0,0,0,1.0,0.0,1986-08-09,
444.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860809,TARJ,1,0,0,0,1.0,0.0,1986-08-09,
445.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,861120,TARJ,0,0,0,1,1.0,0.0,1986-11-20,
446.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,861120,TARJ,0,0,0,1,1.0,0.0,1986-11-20,
447.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,861120,TARJ,0,0,0,1,1.0,0.0,1986-11-20,
448.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,870612,TARJ,0,0,0,1,1.0,0.0,1987-06-12,
449.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,870612,TARJ,0,0,0,1,1.0,0.0,1987-06-12,
