EVENTS,,,,,,,Actual,FR,Actual,FR,Actual,FR,Actual,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USTIC_case,Decision,Foreign Firms,Domestic Firms,Ticker Symbols of Domestic Firms,Foreign Country,Product,date_ini,date_ini,date_ITCp,date_ITCp,date_ITAf,date_ITAf,date_ITCf,date_ITCf,date_TarJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731012,A,"Brother (Japan) Industries, Ltd./ Brothe","SMITH CORONA GROUP, CONSUMER PRODUCTS DIV., SCM CORP.","NASDAQ (SCCO), Can't find",JAPAN,Portable Electric Typewriters,4/9/1979,5/18/79,1/1/80,2/21/80,3/18/80,3/21/1980,5/1/1980,5/7/1980,10/7/1986,Journal of Commerce,Announcement of plant,Brother Industries USA Inc.,Bartlett,TN,1987,270,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731059,T,British Steel Corp.,"U.S. STEEL CORP., BETHLEHEM STEEL CORP.","NYSE (USX), NYSE (BS)",UK,Carbon steel products,1/11/1982,1/20/82,2/28/82,3/3/82,10/21/82,TERM: 10/29/82,,,4/19/85,Financial Times (London),Announcement of minority stake in Tuscaloosa Steel,Tuscaloosa Steel Corporation,Tuscaloosa,AL,1994,400,1999,Webpage: http://www.hoogovens.nl/introflash.html,ACQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731059,T,British Steel Corp.,"U.S. STEEL CORP., BETHLEHEM STEEL CORP.","NYSE (USX), NYSE (BS)",UK,Carbon steel products,1/11/1982,1/20/82,2/28/82,3/3/82,10/21/82,TERM: 10/29/82,,,4/19/85,Financial Times (London),Announcement of minority stake in Tuscaloosa Steel,Tuscaloosa Steel Corporation,Tuscaloosa,AL,1994,400,1999,Webpage: http://www.hoogovens.nl/introflash.html,ACQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731089,N,Bridon Wire Ltd.,"AMERICAN SPRING WIRE CORP., ARMCO INC., BETHLEHEM STEEL CORP., FLORIDA WIRE & CABLE CO., PAN AMERICAN ROPES INC., SHINKO WIRE AMERICA INC.",NYSE (BS); Can't find others,UK,Concrete Steel Wire Strand,3/9/82,3/16/82,4/19/1982,4/28/82,12/14/82,12/20/82,1/2/83,2/9/83,3/6/84,New York Times,"USX sells wire rope and strand mfg facilities in Trenton, NJ and Oakland City, IN to Bridon American Corporation owned by Bridon P.L.C. of London",Bridon American (?),Trenton and Oakland City,NJ and IN,1984,,,,ACQ(100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731095,A,"Union Siderurgique, Chatillon Division (USINOR-SACILOR) | Ugine Guegnon","TOOL AND STAINLESS STEEL INDUSTRY COMM. - ALLEGHENY LUDLUM STEEL, ARMCO INC., CARPENTER TECHNOLOGY CORP., COLT INDUSTRIES [CRUCIBLE MATERIALS GROUP], EASTERN STAINLESS STEEL CO., GUTERL SPECIALTY STEEL CORP., JESSOP STEEEL CO., JONES & LAUGHLIN STEEL INC., REPUBLIC STEEL CORP., UNIVERSAL-CYCLOPS SPECIALTY STEEL DIV.. OF CYCLOPS CORP., WASHINGTON STEEL - AND U.S. STEELWORKERS OF AMERICA (UNION)", ,FRANCE,Stainles Steel Sheet and Strip,5/13/1982,5/19/82,6/24/82,6/30/82,4/22/83,4/29/83,6/9/83,6/15/83,3/13/90,PR Newswire,Lexis-Nexis: Announcement of merger,J&L Specialty Steel,"HQ: Pittsburgh, Plants: Midland, Louisville, Detroit",PA/PA/OH/MI,1990,1300,1990,,ACQ(53.5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731102,A,"Matsushita Communication Industrial Co.,",MOTOROLA INC,NYSE (MOT),JAPAN,Radio Pagers,8/20/1982,8/25/82,10/4/82,10/14/1982,??,6/23/1983,??,8/10/1983,1/7/1983 | 2/15/86,Jiji Press Ticker Service  ,Announcement that Matsushita decided to produce telephone switchboards and other electronic equipment in U.S. in response to trade frictions.,Matsushita Communication Industrial Corp. of America,Peachtree,GA,1987,800,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731102,A,Nippon Electric Co. Ltd.,MOTOROLA INC,NYSE (MOT),JAPAN,Radio Pagers,8/20/1982,8/25/82,10/4/82,10/14/1982,??,6/23/1983,??,8/10/1983,5/21/1984,Business Wire,NEC to build communications equipment plant in Oregon,NEC America Inc.,Hillsboro,OR,1985,500,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731134,A,"Samsung Electronics Co., Ltd.","UNIONS AND COMMITTEE TO PRESERVE AMERICAN COLOR TELEVISION (UNIONS AND CORNING GLASS WORKS, OWENS-ILLINOIS INC., AND WELLS-GARDNER ELEC. CORP.","NYSE (OWC), AMEX (WGA)",KOREA,Color TV Receivers,5/5/1983,5/11/83,6/16/83,6/22/83,??,3/1/84,4/16/84,4/25/1984,12/27/1983,PR Newswire,Lexis-Nexis: Japan Economic Journal - 3/21/87 -  LATER moved plants to Mexico - macquiladoris,Samsung International Inc,Roxbury,NJ,1985,340,1985,Lexis-Nexis: Financial Times - 7/8/85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
